month,month_name,SNOW
1,January,1.3434782608695652
2,February,1.3304347826086957
3,March,0.5304347826086956
4,April,0.0
5,May,0.0
6,June,0.0
7,July,0.0
8,August,0.0
9,September,0.0
10,October,0.0
11,November,0.7608695652173914
12,December,0.7956521739130435
