year,SNOW
1979,2.0999999999999996
1980,11.700000000000001
1981,1.1
1982,9.0
1983,0.3
1984,2.4000000000000004
1985,24.9
1986,1.1
1987,1.4
1988,0.0
1989,14.2
1990,13.6
1991,2.9
1992,6.7
1993,2.7
1994,4.2
1995,0.2
1996,11.0
1997,0.0
1998,0.0
1999,0.0
2000,0.0
2001,0.0
2002,0.0
2003,0.0
2004,0.0
2005,0.0
2006,0.0
2007,0.0
2008,13.9
2009,9.4
2010,3.0
2011,4.8
2012,11.1
2013,1.1
2014,3.7
2015,0.0
2016,1.0
2017,13.2
2018,1.0
2019,21.0
2020,1.2
2021,21.6
2022,5.8
2023,2.3
2024,0.3
2025,2.3
